frame,class,id,x_center,y_center,x,y,w,h
0,car,1,191.08726501464844,661.2863464355469,0.5340271,562.9009,381.10648,196.77094
8,car,1,191.0,659.6908569335938,0.0,560.768,382.0,197.8457
12,car,1,191.1661157608032,661.6309814453125,5.1613855,566.1284,372.00946,191.00513
14,car,1,191.06000185012817,660.7816162109375,2.738484,564.3545,376.64304,192.85425
30,car,5,177.39247131347656,404.3683166503906,164.37476,390.95917,26.03543,26.818298
34,car,5,177.85680389404297,404.4839630126953,163.71565,389.87048,28.282303,29.22696
40,car,5,178.01515197753906,405.3512268066406,163.84038,390.67526,28.349548,29.351929
40,car,1,191.44707238674164,661.6484069824219,1.3232168,564.53876,380.2477,194.2193
42,car,5,177.89867401123047,405.3697204589844,163.69402,390.6182,28.409317,29.503052
42,car,1,191.4817328453064,660.920166015625,1.557035,564.20465,379.8494,193.43103
44,car,5,177.80286407470703,405.4561920166016,163.70648,390.79752,28.192764,29.317352
46,car,5,177.82813262939453,405.8184356689453,163.74251,391.1593,28.17125,29.318268
46,car,1,191.1653680801392,660.7168579101562,4.6238337,566.7368,373.08307,187.96008
48,car,1,191.1731412410736,661.3460998535156,1.9463956,566.2629,378.4535,190.16644
50,car,5,177.42332458496094,406.0598449707031,162.9785,390.92038,28.889648,30.27893
50,car,1,191.13326874375343,661.26904296875,0.47361603,565.4228,381.3193,191.6925
52,car,5,177.74314880371094,405.59571838378906,163.28638,390.41608,28.913544,30.359283
52,car,1,191.4743573665619,662.1393127441406,2.1885908,567.0968,378.57153,190.08502
54,car,5,177.9255142211914,404.7759552001953,162.93758,388.90692,29.975876,31.738068
54,car,1,191.603462934494,661.6358642578125,2.5585716,566.8343,378.08978,189.60315
56,car,1,191.2292799949646,661.1956787109375,4.642839,568.0018,373.17288,186.38782
58,car,1,191.2380212545395,662.2008056640625,1.6102594,567.53973,379.25552,189.32214
62,car,1,191.01881062239408,660.4510192871094,0.03762471,565.01013,381.96237,190.88177
62,car,5,178.14976501464844,405.5469665527344,162.3764,388.709,31.546722,33.675903
64,car,1,191.0,660.6239013671875,0.0,564.7457,382.0,191.75635
68,car,1,191.0,661.1747131347656,0.0,563.30963,382.0,195.73016
72,car,5,177.66563415527344,405.271484375,161.16199,387.33698,33.007294,35.86902
72,car,1,191.22897386550903,659.9507751464844,0.4579625,564.053,381.54202,191.7956
74,car,1,191.204802274704,660.7041625976562,0.6416919,564.8846,381.12622,191.63916
74,car,5,177.17635345458984,405.456283569336,160.76595,387.50052,32.820816,35.91153
76,car,1,191.07601308822632,659.8345947265625,1.7470946,564.7659,378.65784,190.13733
76,car,5,176.96888732910156,404.6211853027344,160.38249,386.27417,33.17279,36.69403
78,car,5,177.09703826904297,403.4494934082031,160.357,384.94702,33.480087,37.004944
80,car,5,177.1416473388672,402.7817077636719,159.98251,383.78506,34.318268,37.993286
80,car,1,191.00514721870425,659.9860534667969,0.6949818,564.4167,380.62033,191.13873
82,car,5,176.81136322021484,403.12103271484375,159.67867,384.09116,34.265396,38.059753
82,car,1,191.0,660.927734375,0.0,564.8268,382.0,192.2019
84,car,5,176.47692108154297,404.1405029296875,159.35028,385.02826,34.25328,38.224487
88,car,5,175.94306182861328,404.3031311035156,158.59105,384.9378,34.704025,38.73065
88,car,1,191.0,661.3487548828125,0.0,564.16833,382.0,194.36084
90,car,5,175.87256622314453,403.9486846923828,158.20573,384.24298,35.333664,39.411407
90,car,1,191.25946247577667,660.4624328613281,1.7326833,565.07477,379.05356,190.77533
92,car,1,191.1790799498558,660.5872192382812,0.52360815,564.57336,381.31094,192.02771
94,car,1,191.34922468662265,662.1846618652344,1.6513945,566.80634,379.39566,190.75665
94,car,5,175.98946380615234,403.79876708984375,158.0361,383.70374,35.906723,40.190063
96,car,5,175.97531127929688,404.4257049560547,157.75063,383.9864,36.44937,40.87863
98,car,5,176.1291961669922,404.07936096191406,157.74844,383.3432,36.761505,41.47232
98,car,1,191.0,662.0423583984375,0.0,565.82086,382.0,192.443
100,car,5,176.17840576171875,403.7080993652344,157.98343,383.05615,36.389954,41.303894
102,car,5,176.22283172607422,403.3202819824219,157.98534,382.5383,36.47499,41.563965
104,car,5,176.31475067138672,403.3749542236328,158.07152,382.5053,36.486465,41.73929
104,car,1,191.17953968048096,661.8137512207031,1.6838274,566.41547,378.99142,190.79657
106,car,5,176.6033477783203,404.0558471679688,157.78441,382.49878,37.63788,43.114136
106,car,1,191.081711769104,660.7102355957031,1.6635752,565.4364,378.83627,190.54767
108,car,5,176.66410064697266,404.3395080566406,157.7017,382.6025,37.92479,43.474
108,car,1,191.251446723938,661.1310729980469,1.1090517,565.5407,380.2848,191.18073
110,car,5,176.63704681396484,405.5480346679688,157.5718,383.6872,38.13051,43.72168
110,car,1,191.1270251274109,659.4422912597656,3.4676166,565.42084,375.31882,188.04291
112,car,5,176.72013092041016,405.0593566894531,157.70096,383.29126,38.038345,43.536194
112,car,1,191.0384659767151,658.199462890625,4.681334,565.3646,372.71426,185.66968
114,car,5,176.52369689941406,404.7191009521485,156.97736,382.3941,39.09268,44.649994
114,car,1,191.0598859786988,658.422607421875,4.295085,565.8198,373.5296,185.20557
116,car,5,176.58885192871094,404.96290588378906,156.86086,382.48898,39.455994,44.947845
116,car,1,191.1156733632088,657.9954833984375,0.62682754,563.52026,380.9777,188.95044
118,car,5,176.84722137451172,404.5203399658203,156.83109,381.7548,40.032272,45.531097
118,car,1,191.22915464639664,659.3558349609375,0.5283032,564.6543,381.4017,189.40308
120,car,5,176.86518096923828,404.1660614013672,156.48055,380.92908,40.76927,46.47397
120,car,1,191.0,661.2410278320312,0.0,566.03076,382.0,190.42053
122,car,5,177.70867156982422,405.2492980957031,157.0275,381.76028,41.36235,46.978027
122,car,1,191.0,659.9014282226562,0.0,563.91266,382.0,191.97754
124,car,5,177.84039306640625,406.43016052246094,157.0203,382.90298,41.640198,47.05435
124,car,1,191.0,659.9346618652344,0.0,563.4979,382.0,192.87347
126,car,5,177.73273468017578,406.52857971191406,156.70877,382.89236,42.047928,47.27243
126,car,1,191.0,659.1209106445312,0.0,563.2371,382.0,191.76758
128,car,5,177.58890533447266,406.20567321777344,156.30936,382.3853,42.559097,47.640717
128,car,1,191.1014892458916,660.269287109375,0.8827545,565.20593,380.43747,190.12671
130,car,5,177.12129974365234,406.1390686035156,155.59389,382.14056,43.054825,47.99701
130,car,1,191.0,661.4376831054688,0.0,564.918,382.0,193.0393
132,car,5,176.94973754882812,406.04920959472656,155.03178,381.66946,43.835907,48.75949
132,car,1,191.0,661.46484375,0.0,564.6259,382.0,193.67786
134,car,5,176.76919555664062,406.3630981445313,154.5035,381.55826,44.531403,49.60968
134,car,1,191.0,661.9339904785156,0.0,564.7967,382.0,194.2746
136,car,5,176.58753967285156,406.8783416748047,154.07034,381.66483,45.034393,50.427032
136,car,1,191.06442818045616,661.9013366699219,0.12886605,565.4828,381.87112,192.8371
138,car,5,176.1692123413086,407.2071075439453,153.48187,381.67273,45.37468,51.068756
138,car,1,191.22661864757532,661.3325500488281,0.79737365,565.37134,380.8585,191.92242
140,car,5,175.8137969970703,407.3297882080078,153.06343,381.6207,45.500732,51.418182
140,car,1,191.1636942923069,661.56396484375,0.49528304,565.4959,381.33682,192.13611
140,truck,27,143.121826171875,396.6712188720703,134.137,388.2792,17.969666,16.784027
142,car,5,175.20496368408203,407.4318389892578,152.21964,381.35794,45.970657,52.147797
142,car,1,191.1169313192368,660.1036987304688,1.3138002,564.53455,379.60626,191.1383
144,car,5,174.82615661621094,407.9293212890625,151.54628,381.45462,46.559753,52.9494
144,car,1,191.21453845500943,660.4000244140625,0.42907703,564.29266,381.57092,192.21472
146,car,5,174.37682342529297,408.3577270507813,150.86795,381.51138,47.017746,53.692688
146,car,1,191.0,659.6440124511719,0.0,563.09485,382.0,193.09833
146,truck,27,140.96829986572266,397.2520751953125,130.37155,387.34354,21.193497,19.817078
148,car,5,173.99610137939453,408.6133880615234,150.2732,381.38992,47.445816,54.44693
148,car,1,191.0,661.2463989257812,0.0,564.0849,382.0,194.323
148,truck,27,139.86080169677734,397.0706787109375,129.14429,387.02557,21.43303,20.09021
150,car,5,173.6299285888672,408.3858795166016,149.78044,380.88165,47.698975,55.008453
150,car,1,191.07287964224813,660.5086364746094,0.14575562,563.9902,381.85425,193.03693
150,truck,27,138.87069702148438,396.7064666748047,127.81358,386.28885,22.114227,20.835236
152,car,5,172.90349578857422,407.71588134765625,148.74214,379.78796,48.32271,55.855835
152,car,1,191.0,661.1166076660156,0.0,563.4426,382.0,195.34796
154,car,5,171.7575912475586,407.50611877441406,147.39603,379.42294,48.72313,56.16635
154,car,1,191.1628334522248,659.9367980957031,0.70134664,563.5747,380.92297,192.72418
156,car,5,170.28146362304688,409.0099029541016,145.49677,380.45386,49.569397,57.11209
156,car,1,191.135163128376,661.226318359375,0.35664445,564.6721,381.55704,193.1084
158,car,5,168.9930877685547,409.50048828125,143.76848,380.54965,50.44922,57.901672
158,car,1,191.32120418548584,662.4645690917969,1.4511938,566.4808,379.74002,191.96759
160,car,5,168.4825210571289,409.050537109375,142.9569,379.8259,51.051254,58.44928
162,car,5,168.29119873046875,408.6602783203125,142.4209,379.05392,51.7406,59.212708
162,car,1,191.45003139972687,663.7997131347656,1.0675241,567.5708,380.765,192.45782
164,car,5,168.12440490722656,407.1219329833984,141.83958,376.99344,52.56964,60.25699
164,car,1,191.235609292984,662.331298828125,1.4366591,566.4492,379.5979,191.76416
166,car,5,167.93128204345703,405.8592376708984,141.09921,374.98587,53.66414,61.746735
166,car,1,191.12932860851288,661.2691040039062,1.5551251,565.633,379.1484,191.27222
168,car,5,167.9072265625,405.5074920654297,140.89857,374.3336,54.017303,62.34781
168,car,1,191.21920430660248,661.7619018554688,0.43841207,565.4083,381.56158,192.70715
170,car,5,167.38121032714844,404.9022064208984,139.76035,372.97226,55.24173,63.859894
170,car,1,191.1206476688385,662.2226867675781,2.2489436,567.0533,377.7434,190.3388
172,car,5,167.20767974853516,404.688720703125,139.35982,372.56857,55.695724,64.240295
172,car,1,191.1519041061401,661.6266479492188,3.3403654,567.23706,375.62308,188.77917
174,car,5,167.10822296142578,405.0128173828125,138.74754,372.3178,56.72136,65.390015
174,car,1,191.02802109718323,660.5630493164062,1.8498747,565.586,378.3563,189.9541
176,car,1,191.037615776062,660.493408203125,0.795825,565.01306,380.48358,190.9607
176,car,5,166.5091781616211,405.7264251708984,137.7751,372.9777,57.468155,65.49747
178,car,1,191.0,660.1065979003906,0.0,563.90845,382.0,192.3963
178,car,5,165.79749298095703,406.8349914550781,137.6595,374.80447,56.275986,64.061035
178,car,37,120.18996810913086,393.06715393066406,107.83286,377.80643,24.71421,30.521454
180,car,5,164.2807846069336,404.6892395019531,134.92831,371.3074,58.70494,66.76367
180,car,1,191.0,661.662109375,0.0,563.844,382.0,195.63623
182,car,5,163.64168548583984,403.9412841796875,134.1291,370.43582,59.02516,67.010925
182,car,1,191.0,660.9437866210938,0.0,564.0343,382.0,193.81897
182,car,37,116.020263671875,391.9502716064453,102.216965,374.99487,27.606598,33.910797
184,car,5,162.63148498535156,403.875228881836,132.43997,369.5151,60.383026,68.720245
184,car,1,191.0,660.5492858886719,0.0,563.29535,382.0,194.50787
184,car,37,113.8502426147461,392.0283203125,99.5719,374.67444,28.556686,34.707764
186,car,5,161.80298614501953,403.5597534179688,131.46275,368.8797,60.680466,69.36011
186,car,1,191.0473476052284,660.4289245605469,0.1715694,563.932,381.75156,192.99384
186,car,37,112.7258529663086,391.5701446533203,98.02985,373.95877,29.392014,35.222748
188,car,5,159.81714630126953,402.7259216308594,129.78482,368.47443,60.06465,68.50299
188,car,1,190.99144220352173,659.2122497558594,1.6892419,563.76807,378.6044,190.88837
188,car,37,109.44939422607422,390.9802551269531,93.70119,372.46713,31.496414,37.026245
190,car,5,158.82276153564453,402.3669128417969,128.60985,367.96915,60.425827,68.79553
190,car,1,190.95683693885803,658.4891662597656,1.1787608,562.9278,379.55615,191.12274
190,car,37,106.47771072387695,390.1839294433594,90.018745,371.0036,32.91793,38.360657
192,car,5,157.43581771850586,402.473861694336,127.14219,367.9523,60.587257,69.04312
192,car,1,190.9536269903183,659.2975158691406,0.38288724,563.35785,381.14148,191.87933
192,car,37,104.3608169555664,390.2858581542969,87.3464,370.58826,34.02884,39.395203
194,car,5,156.23246002197266,402.7583618164063,125.79649,367.93524,60.871933,69.64624
194,car,1,191.0,660.0325012207031,0.0,563.49664,382.0,193.07172
194,car,37,100.65853500366212,390.4134216308594,82.71417,369.76837,35.888725,41.2901
196,car,5,154.7593650817871,402.96946716308594,124.204185,368.00928,61.11036,69.92038
196,car,1,190.96970188617703,659.5109558105469,1.2365934,563.8847,379.46622,191.2525
196,car,37,96.5053939819336,390.6645050048828,78.01865,369.49963,36.973495,42.329742
198,car,5,154.3881721496582,402.69895935058594,123.86126,367.83157,61.053825,69.73477
198,car,1,190.9414752870798,659.9862365722656,0.19776191,563.9266,381.48743,192.11932
198,car,37,94.54922103881836,390.7031555175781,75.57231,369.15198,37.95382,43.102356
200,car,5,154.1261100769043,401.6910552978516,123.27239,366.41467,61.707436,70.552765
200,car,1,190.9952175021172,659.8413696289062,0.8859951,564.1647,380.21844,191.3534
200,car,37,91.42673873901369,390.1995391845703,71.08067,367.38647,40.69213,45.62613
202,car,5,154.0070037841797,401.69480895996094,123.30463,366.54086,61.404755,70.30789
202,car,1,191.02858901023865,659.1519470214844,1.9033296,564.0899,378.25052,190.12408
204,car,5,153.51707077026367,400.5422058105469,122.89538,365.32672,61.243385,70.43097
204,car,1,191.0729024410248,658.2536926269531,3.6623342,564.3444,374.82114,187.81854
204,car,37,84.85656929016113,389.4984436035156,62.51472,364.94025,44.683697,49.116394
206,car,5,152.93068313598633,399.9810180664063,123.1816,365.71594,59.49816,68.53015
206,car,1,191.05557870864868,658.9236145019531,3.1967683,565.1865,375.71762,187.47418
206,car,37,82.13354301452637,389.7182922363281,58.92348,364.41553,46.420124,50.60553
208,car,5,152.31341934204102,399.5345764160156,122.66975,365.35266,59.287346,68.36383
208,car,1,191.0,660.6517639160156,0.0,564.9535,382.0,191.39655
208,car,37,78.24498748779297,388.99903869628906,53.476173,362.34085,49.53763,53.316376
210,car,5,150.9908103942871,400.0789031982422,121.63694,366.27173,58.70774,67.61435
210,car,1,191.1140854358673,659.7915954589844,1.0521042,564.87476,380.12396,189.83368
210,car,37,74.32653999328613,392.5147247314453,50.71207,367.69543,47.22894,49.63858
212,car,5,149.72814178466797,399.9273681640625,120.53459,366.30084,58.3871,67.25305
212,car,1,191.0,658.9502563476562,0.0,563.39526,382.0,191.10999
212,car,37,69.00701904296875,391.0137023925781,41.761032,363.68475,54.491974,54.657898
214,car,5,147.86981201171875,399.8619537353516,118.78264,366.4617,58.174347,66.80051
214,car,1,191.0840494632721,658.8346252441406,0.9586222,563.79675,380.25085,190.07574
214,car,37,61.74533271789551,389.0282440185547,30.838367,358.13892,61.81393,61.778656
216,car,5,146.38907623291016,399.5394287109375,117.29906,365.94043,58.18004,67.198
216,car,1,191.0,658.8401489257812,0.0,563.0181,382.0,191.64404
216,car,37,56.11538124084473,396.418197631836,30.096935,371.7641,52.036892,49.308197
218,car,5,143.72328186035156,398.9959259033203,114.85939,365.75336,57.727783,66.48514
218,car,1,191.0,660.4487609863281,0.0,564.3563,382.0,192.18488
218,car,37,50.0443172454834,389.4606170654297,16.047518,357.4687,67.9936,63.983856
220,car,5,141.9104461669922,398.2158203125,113.88977,366.01743,56.04135,64.39679
220,car,1,191.0,660.3502807617188,0.0,564.20593,382.0,192.2887
220,car,37,47.39499855041504,395.9335021972656,19.078938,370.1365,56.632122,51.593994
222,car,5,138.05103302001953,397.5563354492188,110.21626,365.3525,55.66954,64.40765
222,car,1,191.39238327741623,660.7974548339844,0.7847783,565.2157,381.2152,191.16351
222,car,37,40.56509590148926,398.5887451171875,13.53252,375.15735,54.06515,46.862793
222,car,41,12.858971551060677,419.4440612792969,0.12910838,398.8085,25.459726,41.27112
224,car,5,135.7987937927246,397.98291015625,108.49479,366.3247,54.60801,63.316406
224,car,1,191.00878858566284,659.2487487792969,3.9045253,565.8177,374.20853,186.86212
224,car,41,16.54497241973877,417.33404541015625,3.848755,397.03043,25.392435,40.60724
224,car,37,34.05069923400879,394.7056274414063,7.767681,368.1853,52.566036,53.04065
226,car,5,133.3333740234375,398.0923767089844,106.78529,367.40247,53.09616,61.37982
226,car,1,191.0394742488861,658.3397216796875,2.5508115,564.41187,376.97733,187.85571
226,car,41,20.463595390319824,417.7961730957031,6.7906294,396.8122,27.345932,41.967957
226,car,37,29.89053440093994,396.0606689453125,3.6496038,369.86813,52.48186,52.38507
228,car,5,131.58393096923828,397.8963928222656,105.710724,368.1589,51.746414,59.474976
228,car,41,25.30729007720948,415.7724304199219,9.5718975,393.40662,31.470785,44.73163
228,car,1,191.0093299075961,661.2225036621094,0.018653028,565.7969,381.98135,190.85126
230,car,5,129.85857772827148,397.5838470458984,104.61294,368.63635,50.49128,57.89499
230,car,41,26.66530132293701,414.2358703613281,8.199634,389.55984,36.931335,49.35205
230,car,1,191.2158501148224,662.0925598144531,1.2891228,567.4444,379.85345,189.29633
232,car,5,128.93169021606445,397.2558288574219,103.90548,368.51736,50.05242,57.47693
232,car,41,31.718804359436035,412.1531066894531,9.994006,385.1141,43.449596,54.078003
232,car,1,191.1434525847435,662.8760070800781,0.28691572,567.6643,381.71307,190.4234
234,car,1,191.38942033052444,661.9752502441406,0.7788399,566.88245,381.22116,190.18561
234,car,5,129.26713943481445,396.3822021484375,104.81751,368.11548,48.899254,56.533447
236,car,1,191.33239150047305,662.8375244140625,2.3121889,568.79626,378.0404,188.08252
240,car,1,191.41967713832847,663.3843078613281,1.1338495,568.8329,380.57166,189.10284
240,car,41,80.21054458618164,414.6118774414063,22.339062,385.99744,115.742966,57.22888
242,car,1,191.3752839565277,664.0494079589844,3.675882,571.0104,375.3988,186.07806
246,car,1,191.0,662.8486328125,0.0,568.2895,382.0,189.11829
248,car,1,191.0,662.2683410644531,0.0,567.15314,382.0,190.23041
248,car,41,113.31083297729492,422.4207305908203,38.465473,385.33047,149.69072,74.18051
244,car,1,191.3644307,663.6844199999999,2.4920557,570.22736,377.74475,186.91412
244,car,42,96.51290760853982,426.7889278264796,10.208758361061149,398.6770822810228,172.60829849495735,56.22369109091346
238,car,1,191.3672784,662.608125,1.4966134,568.25464,379.74133,188.70697
238,car,43,85.64497770330176,420.27209041713195,11.487338349912656,386.41009464646817,148.3152787067782,67.72399154132762
